Priority Class: 3 | Queue Time: 215.9455680847168
Priority Class: 3 | Queue Time: 237.46480894088745
Priority Class: 3 | Queue Time: 194.1940610408783
Priority Class: 3 | Queue Time: 221.5076630115509
Priority Class: 3 | Queue Time: 247.74574899673462
Priority Class: 3 | Queue Time: 209.1554639339447
Priority Class: 3 | Queue Time: 224.1496021747589
Priority Class: 3 | Queue Time: 193.01968812942505
Priority Class: 3 | Queue Time: 204.42378425598145
Priority Class: 3 | Queue Time: 191.93807005882263
Priority Class: 3 | Queue Time: 207.9938600063324
Priority Class: 3 | Queue Time: 210.57381796836853
Priority Class: 3 | Queue Time: 250.1806879043579
Priority Class: 3 | Queue Time: 257.73211431503296
Priority Class: 3 | Queue Time: 231.5442488193512
Priority Class: 3 | Queue Time: 185.5031168460846
Priority Class: 3 | Queue Time: 230.4639539718628
Priority Class: 3 | Queue Time: 194.35997700691223
Priority Class: 3 | Queue Time: 240.26857495307922
Priority Class: 3 | Queue Time: 205.48145270347595
Priority Class: 3 | Queue Time: 224.8797528743744
Priority Class: 3 | Queue Time: 231.8534016609192
Priority Class: 3 | Queue Time: 208.1036069393158
Priority Class: 3 | Queue Time: 209.72590684890747
Priority Class: 3 | Queue Time: 215.19764494895935
Priority Class: 3 | Queue Time: 239.8132359981537
Priority Class: 3 | Queue Time: 203.4040219783783
Priority Class: 3 | Queue Time: 252.96136212348938
Priority Class: 3 | Queue Time: 254.41064620018005
Priority Class: 3 | Queue Time: 227.181813955307
Priority Class: 3 | Queue Time: 197.38958597183228
Priority Class: 3 | Queue Time: 238.82328081130981
Priority Class: 3 | Queue Time: 220.82512497901917
Priority Class: 3 | Queue Time: 224.22178983688354
Priority Class: 3 | Queue Time: 200.99800086021423
Priority Class: 3 | Queue Time: 234.6864631175995
Priority Class: 3 | Queue Time: 261.4688301086426
Priority Class: 3 | Queue Time: 268.68797731399536
Priority Class: 3 | Queue Time: 194.2137792110443
Priority Class: 3 | Queue Time: 253.07491207122803
Priority Class: 3 | Queue Time: 272.5880959033966
Priority Class: 3 | Queue Time: 248.17288827896118
Priority Class: 3 | Queue Time: 257.2987871170044
Priority Class: 3 | Queue Time: 225.8767490386963
Priority Class: 3 | Queue Time: 274.9174530506134
Priority Class: 3 | Queue Time: 276.0623209476471
